iter	Passed	Remaining
0	259	259120
1	365	182348
2	430	142934
3	518	128989
4	601	119651
5	684	113360
6	781	110900
7	858	106462
8	946	104240
9	1034	102421
10	1115	100275
11	1217	100210
12	1309	99433
13	1386	97624
14	1472	96671
15	1557	95808
16	1639	94798
17	1736	94760
18	1829	94446
19	1922	94178
20	2021	94240
21	2110	93839
22	2197	93339
23	2305	93754
24	2385	93018
25	2464	92334
26	2541	91593
27	2609	90575
28	2687	89996
29	2767	89492
30	2864	89545
31	2948	89204
32	3036	88969
33	3124	88770
34	3216	88686
35	3310	88636
36	3388	88180
37	3495	88488
38	3597	88655
39	3685	88459
40	3782	88482
41	3863	88117
42	3958	88093
43	4036	87692
44	4113	87302
45	4203	87173
46	4303	87258
47	4380	86870
48	4479	86945
49	4560	86658
50	4641	86370
51	4725	86149
52	4804	85854
53	4854	85048
54	4935	84807
55	5034	84859
56	5094	84277
57	5182	84163
58	5274	84122
59	5350	83818
60	5443	83800
61	5517	83473
62	5603	83344
63	5678	83049
64	5755	82795
65	5842	82675
66	5923	82483
67	6000	82241
68	6089	82160
69	6185	82178
70	6269	82027
71	6343	81758
72	6418	81506
73	6496	81299
74	6571	81051
75	6662	81002
76	6746	80874
77	6829	80724
78	6916	80632
79	7005	80561
80	7083	80371
81	7176	80346
82	7257	80184
83	7360	80261
84	7436	80056
85	7510	79825
86	7605	79814
87	7691	79714
88	7778	79618
89	7864	79514
90	7947	79392
91	8027	79229
92	8112	79114
93	8196	79001
94	8275	78836
95	8349	78623
96	8425	78434
97	8498	78225
98	8572	78016
99	8645	77807
100	8722	77634
101	8806	77534
102	8891	77430
103	8979	77359
104	9093	77511
105	9180	77431
106	9268	77354
107	9349	77216
108	9448	77233
109	9537	77169
110	9618	77033
111	9709	76984
112	9801	76937
113	9888	76851
114	9973	76751
115	10072	76761
116	10159	76677
117	10254	76650
118	10329	76470
119	10363	75995
120	10445	75877
121	10477	75406
122	10553	75246
123	10631	75106
124	10702	74920
125	10790	74848
126	10881	74797
127	10965	74703
128	11071	74752
129	11149	74616
130	11225	74468
131	11308	74364
132	11408	74369
133	11491	74264
134	11571	74146
135	11667	74121
136	11751	74022
137	11847	74001
138	11945	73995
139	12046	74002
140	12122	73853
141	12203	73737
142	12287	73640
143	12362	73489
144	12463	73491
145	12541	73360
146	12627	73273
147	12717	73211
148	12792	73064
149	12836	72737
150	12924	72670
151	13010	72585
152	13094	72487
153	13186	72442
154	13281	72407
155	13311	72016
156	13388	71890
157	13474	71807
158	13515	71488
159	13593	71366
160	13669	71235
161	13757	71166
162	13853	71136
163	13979	71263
164	14071	71207
165	14145	71070
166	14221	70938
167	14291	70775
168	14378	70701
169	14473	70662
170	14548	70531
171	14650	70526
172	14739	70458
173	14823	70368
174	14922	70350
175	15032	70381
176	15156	70471
177	15232	70344
178	15321	70275
179	15400	70156
180	15452	69918
181	15527	69789
182	15613	69706
183	15697	69615
184	15786	69546
185	15914	69648
186	16003	69575
187	16076	69437
188	16172	69394
189	16264	69338
190	16326	69154
191	16410	69059
192	16492	68960
193	16572	68851
194	16652	68744
195	16743	68684
196	16835	68625
197	16914	68512
198	17001	68434
199	17082	68329
200	17172	68261
201	17270	68225
202	17346	68104
203	17446	68074
204	17533	67995
205	17619	67911
206	17705	67827
207	17779	67697
208	17858	67590
209	17959	67560
210	18040	67461
211	18113	67327
212	18204	67261
213	18304	67231
214	18381	67114
215	18459	67001
216	18545	66917
217	18623	66804
218	18705	66706
219	18792	66629
220	18863	66491
221	18938	66370
222	19018	66265
223	19089	66131
224	19162	66004
225	19250	65928
226	19333	65835
227	19419	65752
228	19510	65686
229	19591	65587
230	19663	65460
231	19752	65388
232	19836	65297
233	19908	65171
234	19990	65076
235	20089	65036
236	20187	64990
237	20282	64938
238	20360	64829
239	20430	64698
240	20517	64616
241	20621	64590
242	20698	64479
243	20783	64395
244	20863	64292
245	20962	64250
246	21037	64133
247	21122	64049
248	21212	63979
249	21305	63917
250	21391	63833
251	21467	63720
252	21551	63632
253	21634	63542
254	21713	63438
255	21806	63376
256	21912	63349
257	21994	63255
258	22078	63167
259	22170	63100
260	22248	62994
261	22321	62875
262	22417	62819
263	22520	62784
264	22597	62675
265	22690	62612
266	22769	62508
267	22842	62389
268	22930	62313
269	23024	62250
270	23113	62176
271	23188	62063
272	23266	61957
273	23373	61930
274	23476	61893
275	23570	61829
276	23668	61776
277	23757	61702
278	23850	61634
279	23939	61557
280	24041	61515
281	24135	61450
282	24213	61346
283	24298	61259
284	24372	61145
285	24450	61039
286	24528	60937
287	24612	60848
288	24696	60758
289	24796	60708
290	24897	60660
291	25003	60624
292	25108	60586
293	25232	60592
294	25325	60522
295	25360	60317
296	25464	60274
297	25584	60268
298	25682	60212
299	25786	60167
300	25912	60176
301	25991	60072
302	26081	59994
303	26172	59921
304	26260	59840
305	26368	59802
306	26458	59726
307	26534	59617
308	26642	59579
309	26737	59511
310	26841	59465
311	26940	59407
312	27054	59381
313	27139	59291
314	27227	59209
315	27351	59203
316	27440	59123
317	27542	59069
318	27640	59007
319	27730	58927
320	27824	58856
321	27882	58709
322	27997	58682
323	28090	58609
324	28180	58529
325	28278	58464
326	28374	58398
327	28461	58310
328	28545	58219
329	28632	58132
330	28719	58046
331	28814	57975
332	28891	57870
333	28978	57782
334	29058	57682
335	29140	57588
336	29224	57495
337	29316	57418
338	29408	57342
339	29521	57305
340	29626	57254
341	29724	57189
342	29802	57086
343	29906	57030
344	30012	56979
345	30092	56880
346	30175	56786
347	30259	56693
348	30341	56597
349	30426	56507
350	30514	56421
351	30600	56332
352	30680	56233
353	30763	56138
354	30842	56037
355	30885	55871
356	30985	55808
357	31088	55750
358	31171	55657
359	31277	55605
360	31363	55515
361	31467	55459
362	31561	55384
363	31662	55323
364	31755	55246
365	31843	55161
366	31931	55075
367	32016	54985
368	32101	54894
369	32184	54800
370	32293	54751
371	32375	54656
372	32452	54552
373	32542	54470
374	32624	54374
375	32717	54297
376	32807	54215
377	32901	54140
378	32986	54049
379	33083	53979
380	33172	53894
381	33267	53819
382	33370	53758
383	33459	53674
384	33561	53610
385	33641	53513
386	33740	53445
387	33831	53363
388	33911	53264
389	33995	53172
390	34077	53077
391	34165	52991
392	34251	52901
393	34331	52804
394	34418	52717
395	34501	52623
396	34588	52536
397	34637	52391
398	34733	52317
399	34819	52229
400	34903	52137
401	34993	52054
402	35096	51992
403	35178	51896
404	35263	51807
405	35361	51735
406	35443	51641
407	35525	51546
408	35625	51478
409	35735	51424
410	35821	51335
411	35903	51241
412	35983	51142
413	36066	51050
414	36157	50969
415	36270	50918
416	36358	50832
417	36463	50769
418	36550	50682
419	36634	50590
420	36732	50518
421	36833	50450
422	36945	50396
423	37028	50303
424	37115	50215
425	37199	50123
426	37288	50038
427	37380	49957
428	37466	49868
429	37549	49775
430	37643	49696
431	37728	49605
432	37818	49522
433	37903	49432
434	37988	49341
435	38076	49255
436	38163	49166
437	38212	49031
438	38301	48945
439	38389	48859
440	38485	48783
441	38566	48687
442	38654	48601
443	38748	48522
444	38837	48438
445	38921	48346
446	39003	48252
447	39090	48164
448	39185	48087
449	39275	48003
450	39358	47910
451	39442	47819
452	39528	47731
453	39563	47581
454	39651	47494
455	39750	47421
456	39839	47336
457	39939	47264
458	40030	47181
459	40140	47121
460	40246	47055
461	40351	46989
462	40436	46899
463	40521	46809
464	40600	46712
465	40650	46582
466	40746	46505
467	40830	46413
468	40911	46320
469	40993	46226
470	41087	46147
471	41168	46053
472	41249	45958
473	41341	45877
474	41423	45784
475	41505	45690
476	41592	45603
477	41681	45518
478	41765	45427
479	41893	45385
480	42012	45331
481	42114	45260
482	42204	45174
483	42291	45087
484	42383	45005
485	42467	44914
486	42545	44816
487	42639	44736
488	42735	44657
489	42833	44581
490	42923	44497
491	43056	44457
492	43135	44360
493	43286	44338
494	43390	44266
495	43497	44199
496	43591	44117
497	43719	44070
498	43824	44000
499	43925	43925
500	44036	43860
501	44143	43791
502	44238	43710
503	44330	43626
504	44447	43566
505	44543	43487
506	44663	43430
507	44775	43364
508	44888	43301
509	44979	43215
510	45065	43124
511	45152	43036
512	45251	42957
513	45375	42903
514	45461	42812
515	45582	42755
516	45682	42678
517	45779	42598
518	45886	42527
519	46011	42471
520	46177	42455
521	46274	42373
522	46405	42324
523	46505	42245
524	46640	42198
525	46743	42122
526	46860	42058
527	46970	41988
528	47092	41929
529	47223	41877
530	47315	41790
531	47396	41694
532	47495	41613
533	47630	41564
534	47722	41478
535	47822	41398
536	47950	41342
537	48063	41274
538	48193	41219
539	48312	41155
540	48434	41093
541	48555	41030
542	48653	40947
543	48754	40867
544	48875	40804
545	48982	40728
546	49108	40669
547	49200	40581
548	49281	40484
549	49378	40400
550	49497	40334
551	49613	40265
552	49738	40204
553	49832	40118
554	49936	40038
555	50036	39957
556	50133	39872
557	50220	39780
558	50367	39735
559	50489	39670
560	50618	39610
561	50745	39549
562	50857	39475
563	51005	39429
564	51115	39354
565	51246	39295
566	51354	39218
567	51444	39126
568	51534	39035
569	51622	38943
570	51832	38942
571	51976	38891
572	52099	38824
573	52254	38781
574	52385	38719
575	52481	38632
576	52574	38542
577	52657	38445
578	52751	38356
579	52839	38263
580	52926	38168
581	53025	38083
582	53113	37990
583	53223	37912
584	53309	37817
585	53425	37744
586	53548	37675
587	53668	37604
588	53832	37564
589	53933	37479
590	54037	37396
591	54141	37313
592	54257	37239
593	54344	37144
594	54441	37056
595	54544	36973
596	54644	36887
597	54730	36791
598	54851	36720
599	54958	36639
600	55055	36550
601	55146	36458
602	55256	36379
603	55356	36293
604	55461	36210
605	55560	36123
606	55649	36029
607	55747	35942
608	55837	35849
609	55941	35765
610	56067	35695
611	56168	35610
612	56287	35535
613	56382	35445
614	56489	35363
615	56592	35278
616	56681	35185
617	56782	35098
618	56869	35003
619	56968	34916
620	57053	34820
621	57148	34729
622	57262	34651
623	57348	34556
624	57455	34473
625	57552	34384
626	57651	34296
