shot_id,game_id,period,time_in_period,event_type,is_goal,x_coord,y_coord,shot_distance,shot_angle,shot_type,zone_code,shooter_id,goalie_id,shooter_name,goalie_name,home_players_on_ice_ids,away_players_on_ice_ids,home_players_on_ice_names,away_players_on_ice_names,home_player_0_id,away_player_0_id,home_player_0_name,away_player_0_name,home_player_1_id,away_player_1_id,home_player_1_name,away_player_1_name,home_player_2_id,away_player_2_id,home_player_2_name,away_player_2_name,home_player_3_id,away_player_3_id,home_player_3_name,away_player_3_name,home_player_4_id,away_player_4_id,home_player_4_name,away_player_4_name,home_player_5_id,away_player_5_id,home_player_5_name,away_player_5_name,last_event_type,last_event_time_diff,last_event_distance,zone_entries_last_30s,passes_last_30s,shots_last_30s,hits_last_30s,is_rush,is_rebound,is_off_turnover,play_sequence,home_score,away_score,is_home_team,home_skaters,away_skaters,is_power_play,home_sog,away_sog
2024010071_7,2024010071,1,147,shot-on-goal,0,-77,26,28.635642126552707,114.77514056883193,backhand,O,8482163,8477465,E. Viro,T. Jarry,[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,giveaway,27,14.422205101855956,0,0,0,0,0,0,0,"[{'type': 'period-start', 'time_diff': 147, 'team': '', 'zone': ''}, {'type': 'faceoff', 'time_diff': 147, 'team': 17, 'zone': 'N'}, {'type': 'giveaway', 'time_diff': 143, 'team': 17, 'zone': 'N'}, {'type': 'delayed-penalty', 'time_diff': 121, 'team': 5, 'zone': ''}, {'type': 'penalty', 'time_diff': 119, 'team': 5, 'zone': 'D'}, {'type': 'faceoff', 'time_diff': 119, 'team': 5, 'zone': 'D'}, {'type': 'giveaway', 'time_diff': 27, 'team': 17, 'zone': 'O'}]",0,0,False,1,5,True,0,1
2024010071_9,2024010071,1,171,shot-on-goal,0,66,-19,29.832867780352597,39.559667968994496,backhand,O,8471215,8478024,E. Malkin,V. Husso,[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,takeaway,4,65.92419889539804,0,0,1,0,0,0,1,"[{'type': 'period-start', 'time_diff': 171, 'team': '', 'zone': ''}, {'type': 'faceoff', 'time_diff': 171, 'team': 17, 'zone': 'N'}, {'type': 'giveaway', 'time_diff': 167, 'team': 17, 'zone': 'N'}, {'type': 'delayed-penalty', 'time_diff': 145, 'team': 5, 'zone': ''}, {'type': 'penalty', 'time_diff': 143, 'team': 5, 'zone': 'D'}, {'type': 'faceoff', 'time_diff': 143, 'team': 5, 'zone': 'D'}, {'type': 'giveaway', 'time_diff': 51, 'team': 17, 'zone': 'O'}, {'type': 'shot-on-goal', 'time_diff': 24, 'team': 17, 'zone': 'O'}, {'type': 'takeaway', 'time_diff': 4, 'team': 5, 'zone': 'N'}]",0,0,False,1,5,True,1,1
2024010071_10,2024010071,1,173,shot-on-goal,0,88,-7,7.0710678118654755,81.86989764584403,wrist,O,8478047,8478024,M. Bunting,V. Husso,[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,shot-on-goal,2,25.059928172283335,0,0,2,0,0,1,0,"[{'type': 'period-start', 'time_diff': 173, 'team': '', 'zone': ''}, {'type': 'faceoff', 'time_diff': 173, 'team': 17, 'zone': 'N'}, {'type': 'giveaway', 'time_diff': 169, 'team': 17, 'zone': 'N'}, {'type': 'delayed-penalty', 'time_diff': 147, 'team': 5, 'zone': ''}, {'type': 'penalty', 'time_diff': 145, 'team': 5, 'zone': 'D'}, {'type': 'faceoff', 'time_diff': 145, 'team': 5, 'zone': 'D'}, {'type': 'giveaway', 'time_diff': 53, 'team': 17, 'zone': 'O'}, {'type': 'shot-on-goal', 'time_diff': 26, 'team': 17, 'zone': 'O'}, {'type': 'takeaway', 'time_diff': 6, 'team': 5, 'zone': 'N'}, {'type': 'shot-on-goal', 'time_diff': 2, 'team': 5, 'zone': 'O'}]",0,0,False,1,5,True,2,1
2024010071_14,2024010071,1,232,missed-shot,0,59,20,36.05551275463989,33.690067525979785,wrist,O,8478463,8478024,A. Beauvillier,V. Husso,[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,hit,22,155.63097378092831,0,0,0,1,0,0,0,"[{'type': 'period-start', 'time_diff': 232, 'team': '', 'zone': ''}, {'type': 'faceoff', 'time_diff': 232, 'team': 17, 'zone': 'N'}, {'type': 'giveaway', 'time_diff': 228, 'team': 17, 'zone': 'N'}, {'type': 'delayed-penalty', 'time_diff': 206, 'team': 5, 'zone': ''}, {'type': 'penalty', 'time_diff': 204, 'team': 5, 'zone': 'D'}, {'type': 'faceoff', 'time_diff': 204, 'team': 5, 'zone': 'D'}, {'type': 'giveaway', 'time_diff': 112, 'team': 17, 'zone': 'O'}, {'type': 'shot-on-goal', 'time_diff': 85, 'team': 17, 'zone': 'O'}, {'type': 'takeaway', 'time_diff': 65, 'team': 5, 'zone': 'N'}, {'type': 'shot-on-goal', 'time_diff': 61, 'team': 5, 'zone': 'O'}, {'type': 'shot-on-goal', 'time_diff': 59, 'team': 5, 'zone': 'O'}, {'type': 'giveaway', 'time_diff': 37, 'team': 17, 'zone': 'D'}, {'type': 'giveaway', 'time_diff': 28, 'team': 5, 'zone': 'O'}, {'type': 'hit', 'time_diff': 22, 'team': 17, 'zone': 'N'}]",0,0,False,1,5,True,0,0
2024010071_18,2024010071,1,266,shot-on-goal,0,59,27,40.36087214122113,41.98721249581666,wrist,O,8478463,8478024,A. Beauvillier,V. Husso,[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,hit,19,100.56838469419701,0,0,0,1,0,0,0,"[{'type': 'period-start', 'time_diff': 266, 'team': '', 'zone': ''}, {'type': 'faceoff', 'time_diff': 266, 'team': 17, 'zone': 'N'}, {'type': 'giveaway', 'time_diff': 262, 'team': 17, 'zone': 'N'}, {'type': 'delayed-penalty', 'time_diff': 240, 'team': 5, 'zone': ''}, {'type': 'penalty', 'time_diff': 238, 'team': 5, 'zone': 'D'}, {'type': 'faceoff', 'time_diff': 238, 'team': 5, 'zone': 'D'}, {'type': 'giveaway', 'time_diff': 146, 'team': 17, 'zone': 'O'}, {'type': 'shot-on-goal', 'time_diff': 119, 'team': 17, 'zone': 'O'}, {'type': 'takeaway', 'time_diff': 99, 'team': 5, 'zone': 'N'}, {'type': 'shot-on-goal', 'time_diff': 95, 'team': 5, 'zone': 'O'}, {'type': 'shot-on-goal', 'time_diff': 93, 'team': 5, 'zone': 'O'}, {'type': 'giveaway', 'time_diff': 71, 'team': 17, 'zone': 'D'}, {'type': 'giveaway', 'time_diff': 62, 'team': 5, 'zone': 'O'}, {'type': 'hit', 'time_diff': 56, 'team': 17, 'zone': 'N'}, {'type': 'missed-shot', 'time_diff': 34, 'team': 5, 'zone': 'O'}, {'type': 'stoppage', 'time_diff': 26, 'team': '', 'zone': ''}, {'type': 'faceoff', 'time_diff': 26, 'team': 5, 'zone': 'N'}, {'type': 'hit', 'time_diff': 19, 'team': 5, 'zone': 'N'}]",0,0,False,1,5,True,3,1
2024010071_24,2024010071,1,367,missed-shot,0,74,-1,15.033296378372908,3.8140748342903543,tip-in,O,8480836,8478024,J. Gruden,V. Husso,[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,hit,35,148.7615541731129,0,0,0,0,0,0,0,"[{'type': 'penalty', 'time_diff': 339, 'team': 5, 'zone': 'D'}, {'type': 'faceoff', 'time_diff': 339, 'team': 5, 'zone': 'D'}, {'type': 'giveaway', 'time_diff': 247, 'team': 17, 'zone': 'O'}, {'type': 'shot-on-goal', 'time_diff': 220, 'team': 17, 'zone': 'O'}, {'type': 'takeaway', 'time_diff': 200, 'team': 5, 'zone': 'N'}, {'type': 'shot-on-goal', 'time_diff': 196, 'team': 5, 'zone': 'O'}, {'type': 'shot-on-goal', 'time_diff': 194, 'team': 5, 'zone': 'O'}, {'type': 'giveaway', 'time_diff': 172, 'team': 17, 'zone': 'D'}, {'type': 'giveaway', 'time_diff': 163, 'team': 5, 'zone': 'O'}, {'type': 'hit', 'time_diff': 157, 'team': 17, 'zone': 'N'}, {'type': 'missed-shot', 'time_diff': 135, 'team': 5, 'zone': 'O'}, {'type': 'stoppage', 'time_diff': 127, 'team': '', 'zone': ''}, {'type': 'faceoff', 'time_diff': 127, 'team': 5, 'zone': 'N'}, {'type': 'hit', 'time_diff': 120, 'team': 5, 'zone': 'N'}, {'type': 'shot-on-goal', 'time_diff': 101, 'team': 5, 'zone': 'O'}, {'type': 'stoppage', 'time_diff': 80, 'team': '', 'zone': ''}, {'type': 'faceoff', 'time_diff': 80, 'team': 5, 'zone': 'N'}, {'type': 'hit', 'time_diff': 75, 'team': 5, 'zone': 'N'}, {'type': 'giveaway', 'time_diff': 50, 'team': 17, 'zone': 'D'}, {'type': 'hit', 'time_diff': 35, 'team': 17, 'zone': 'N'}]",0,0,False,1,5,True,0,0
2024010071_28,2024010071,1,414,shot-on-goal,0,59,-1,30.01666203960727,1.9091524329963763,wrist,O,8471724,8478024,K. Letang,V. Husso,[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,faceoff,24,45.27692569068709,0,0,0,0,0,0,0,"[{'type': 'takeaway', 'time_diff': 247, 'team': 5, 'zone': 'N'}, {'type': 'shot-on-goal', 'time_diff': 243, 'team': 5, 'zone': 'O'}, {'type': 'shot-on-goal', 'time_diff': 241, 'team': 5, 'zone': 'O'}, {'type': 'giveaway', 'time_diff': 219, 'team': 17, 'zone': 'D'}, {'type': 'giveaway', 'time_diff': 210, 'team': 5, 'zone': 'O'}, {'type': 'hit', 'time_diff': 204, 'team': 17, 'zone': 'N'}, {'type': 'missed-shot', 'time_diff': 182, 'team': 5, 'zone': 'O'}, {'type': 'stoppage', 'time_diff': 174, 'team': '', 'zone': ''}, {'type': 'faceoff', 'time_diff': 174, 'team': 5, 'zone': 'N'}, {'type': 'hit', 'time_diff': 167, 'team': 5, 'zone': 'N'}, {'type': 'shot-on-goal', 'time_diff': 148, 'team': 5, 'zone': 'O'}, {'type': 'stoppage', 'time_diff': 127, 'team': '', 'zone': ''}, {'type': 'faceoff', 'time_diff': 127, 'team': 5, 'zone': 'N'}, {'type': 'hit', 'time_diff': 122, 'team': 5, 'zone': 'N'}, {'type': 'giveaway', 'time_diff': 97, 'team': 17, 'zone': 'D'}, {'type': 'hit', 'time_diff': 82, 'team': 17, 'zone': 'N'}, {'type': 'missed-shot', 'time_diff': 47, 'team': 5, 'zone': 'O'}, {'type': 'penalty', 'time_diff': 24, 'team': 17, 'zone': 'D'}, {'type': 'stoppage', 'time_diff': 24, 'team': '', 'zone': ''}, {'type': 'faceoff', 'time_diff': 24, 'team': 5, 'zone': 'N'}]",0,0,False,1,4,True,4,1
2024010071_31,2024010071,1,450,shot-on-goal,0,87,-21,21.095023109728988,84.55966796899449,wrist,O,8471675,8478024,S. Crosby,V. Husso,[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,faceoff,35,18.027756377319946,0,0,0,0,0,0,0,"[{'type': 'giveaway', 'time_diff': 255, 'team': 17, 'zone': 'D'}, {'type': 'giveaway', 'time_diff': 246, 'team': 5, 'zone': 'O'}, {'type': 'hit', 'time_diff': 240, 'team': 17, 'zone': 'N'}, {'type': 'missed-shot', 'time_diff': 218, 'team': 5, 'zone': 'O'}, {'type': 'stoppage', 'time_diff': 210, 'team': '', 'zone': ''}, {'type': 'faceoff', 'time_diff': 210, 'team': 5, 'zone': 'N'}, {'type': 'hit', 'time_diff': 203, 'team': 5, 'zone': 'N'}, {'type': 'shot-on-goal', 'time_diff': 184, 'team': 5, 'zone': 'O'}, {'type': 'stoppage', 'time_diff': 163, 'team': '', 'zone': ''}, {'type': 'faceoff', 'time_diff': 163, 'team': 5, 'zone': 'N'}, {'type': 'hit', 'time_diff': 158, 'team': 5, 'zone': 'N'}, {'type': 'giveaway', 'time_diff': 133, 'team': 17, 'zone': 'D'}, {'type': 'hit', 'time_diff': 118, 'team': 17, 'zone': 'N'}, {'type': 'missed-shot', 'time_diff': 83, 'team': 5, 'zone': 'O'}, {'type': 'penalty', 'time_diff': 60, 'team': 17, 'zone': 'D'}, {'type': 'stoppage', 'time_diff': 60, 'team': '', 'zone': ''}, {'type': 'faceoff', 'time_diff': 60, 'team': 5, 'zone': 'N'}, {'type': 'shot-on-goal', 'time_diff': 36, 'team': 5, 'zone': 'O'}, {'type': 'stoppage', 'time_diff': 35, 'team': '', 'zone': ''}, {'type': 'faceoff', 'time_diff': 35, 'team': 17, 'zone': 'D'}]",0,0,False,1,4,True,5,1
2024010071_33,2024010071,1,461,shot-on-goal,0,71,-8,19.697715603592208,23.962488974578186,wrist,O,8475810,8478024,B. Rust,V. Husso,[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,hit,9,48.16637831516918,0,0,1,1,0,0,0,"[{'type': 'hit', 'time_diff': 251, 'team': 17, 'zone': 'N'}, {'type': 'missed-shot', 'time_diff': 229, 'team': 5, 'zone': 'O'}, {'type': 'stoppage', 'time_diff': 221, 'team': '', 'zone': ''}, {'type': 'faceoff', 'time_diff': 221, 'team': 5, 'zone': 'N'}, {'type': 'hit', 'time_diff': 214, 'team': 5, 'zone': 'N'}, {'type': 'shot-on-goal', 'time_diff': 195, 'team': 5, 'zone': 'O'}, {'type': 'stoppage', 'time_diff': 174, 'team': '', 'zone': ''}, {'type': 'faceoff', 'time_diff': 174, 'team': 5, 'zone': 'N'}, {'type': 'hit', 'time_diff': 169, 'team': 5, 'zone': 'N'}, {'type': 'giveaway', 'time_diff': 144, 'team': 17, 'zone': 'D'}, {'type': 'hit', 'time_diff': 129, 'team': 17, 'zone': 'N'}, {'type': 'missed-shot', 'time_diff': 94, 'team': 5, 'zone': 'O'}, {'type': 'penalty', 'time_diff': 71, 'team': 17, 'zone': 'D'}, {'type': 'stoppage', 'time_diff': 71, 'team': '', 'zone': ''}, {'type': 'faceoff', 'time_diff': 71, 'team': 5, 'zone': 'N'}, {'type': 'shot-on-goal', 'time_diff': 47, 'team': 5, 'zone': 'O'}, {'type': 'stoppage', 'time_diff': 46, 'team': '', 'zone': ''}, {'type': 'faceoff', 'time_diff': 46, 'team': 17, 'zone': 'D'}, {'type': 'shot-on-goal', 'time_diff': 11, 'team': 5, 'zone': 'O'}, {'type': 'hit', 'time_diff': 9, 'team': 17, 'zone': 'N'}]",0,0,False,1,4,True,6,1
2024010071_36,2024010071,1,491,shot-on-goal,0,69,-22,29.732137494637012,47.72631099390627,wrist,O,8475763,8478024,K. Hayes,V. Husso,[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,faceoff,28,0.0,0,0,1,0,0,0,0,"[{'type': 'faceoff', 'time_diff': 251, 'team': 5, 'zone': 'N'}, {'type': 'hit', 'time_diff': 244, 'team': 5, 'zone': 'N'}, {'type': 'shot-on-goal', 'time_diff': 225, 'team': 5, 'zone': 'O'}, {'type': 'stoppage', 'time_diff': 204, 'team': '', 'zone': ''}, {'type': 'faceoff', 'time_diff': 204, 'team': 5, 'zone': 'N'}, {'type': 'hit', 'time_diff': 199, 'team': 5, 'zone': 'N'}, {'type': 'giveaway', 'time_diff': 174, 'team': 17, 'zone': 'D'}, {'type': 'hit', 'time_diff': 159, 'team': 17, 'zone': 'N'}, {'type': 'missed-shot', 'time_diff': 124, 'team': 5, 'zone': 'O'}, {'type': 'penalty', 'time_diff': 101, 'team': 17, 'zone': 'D'}, {'type': 'stoppage', 'time_diff': 101, 'team': '', 'zone': ''}, {'type': 'faceoff', 'time_diff': 101, 'team': 5, 'zone': 'N'}, {'type': 'shot-on-goal', 'time_diff': 77, 'team': 5, 'zone': 'O'}, {'type': 'stoppage', 'time_diff': 76, 'team': '', 'zone': ''}, {'type': 'faceoff', 'time_diff': 76, 'team': 17, 'zone': 'D'}, {'type': 'shot-on-goal', 'time_diff': 41, 'team': 5, 'zone': 'O'}, {'type': 'hit', 'time_diff': 39, 'team': 17, 'zone': 'N'}, {'type': 'shot-on-goal', 'time_diff': 30, 'team': 5, 'zone': 'O'}, {'type': 'stoppage', 'time_diff': 28, 'team': '', 'zone': ''}, {'type': 'faceoff', 'time_diff': 28, 'team': 17, 'zone': 'D'}]",0,0,False,1,4,True,7,1
