feature,importance
shotWasOnGoal,0.6865475
arenaAdjustedShotDistance,0.025259508
awaySkatersOnIce,0.021853637
arenaAdjustedYCordAbs,0.0189455
strength_differential,0.015259764
is_home_shooting,0.013584059
homeSkatersOnIce,0.013291245
shotRebound,0.012714709
timeSinceLastEvent,0.011285446
shooting_talent,0.010183416
shotType_SLAP,0.009827984
arenaAdjustedXCordABS,0.009141143
shotType_SNAP,0.0088443775
shotType_TIP,0.008507455
shotType_BACK,0.008159409
shotType_WRIST,0.007322553
save_talent,0.0072377417
lastEvent_DELPEN,0.0069006686
shotType_WRAP,0.0068256855
speedFromLastEvent,0.0064674355
shotAngleAdjusted,0.0064227977
lastEvent_CHL,0.0061007384
lastEvent_FAC,0.005744008
high_danger_conversion,0.0056964355
period,0.0055678273
lastEvent_MISS,0.0053780735
high_danger_save_talent,0.0053086462
lastEvent_BLOCK,0.0052732746
lastEvent_HIT,0.0052483035
shot_quality_ratio,0.005175048
lastEvent_GIVE,0.005083022
score_differential,0.00482503
awayTeamGoals,0.004773746
lastEvent_SHOT,0.00468987
shotType_DEFL,0.0046832003
lastEvent_TAKE,0.004115713
homeTeamGoals,0.004112474
lastEvent_STOP,0.0022546044
shotRush,0.0013879719
timeLeft,0.0
lastEvent_GOAL,0.0
lastEvent_PENL,0.0
